---,ObjectModel,Category,Icon,SubCategory,SocketClassIDs,PlugClassIDs,NiceName,bShowInDrawer,VariantOf
^DECAL_HAZARD,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_HAZARD.DECAL_HAZARD'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_HAZARD.DECAL_HAZARD'","Decals","","","HAZARD DECAL","True","None"
^DECAL_HORROR,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_HORROR.DECAL_HORROR'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_HORROR.DECAL_HORROR'","Decals","","","HORRIFIC DECAL","True","None"
^DECAL_JELLY,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_JELLY.DECAL_JELLY'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_JELLY.DECAL_JELLY'","Decals","","","TENTACLED DECAL","True","None"
^DECAL_NEXUSM,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_NEXUSM.DECAL_NEXUSM'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_NEXUSM.DECAL_NEXUSM'","Decals","","","SPACE ANOMALY DECAL","True","None"
^DECAL_QIT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_QIT.DECAL_QIT'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_QIT.DECAL_QIT'","Decals","","","QITANIAN EMPIRE DECAL","True","None"
^DECAL_SKULL,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_SKULL.DECAL_SKULL'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_SKULL.DECAL_SKULL'","Decals","","","WARNING DECAL","True","None"
^DECAL_STARTSHIP,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_STARTSHIP.DECAL_STARTSHIP'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_STARTSHIP.DECAL_STARTSHIP'","Decals","","","LANDED SHIP DECAL","True","None"
^DECAL_UFT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_UFT.DECAL_UFT'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_UFT.DECAL_UFT'","Decals","","","UNITED FEDERATION OF TRAVELERS DECAL","True","None"
^DECAL_UWTREAS,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_UWTREAS.DECAL_UWTREAS'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_UWTREAS.DECAL_UWTREAS'","Decals","","","LOST BATHYSPHERE DECAL","True","None"
^DECAL_WORM_P1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_WORM_P1.DECAL_WORM_P1'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_WORM_P1.DECAL_WORM_P1'","Decals","","","WORM HUNT I DECAL","True","None"
^DECAL_WORM_P2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_WORM_P2.DECAL_WORM_P2'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_WORM_P2.DECAL_WORM_P2'","Decals","","","WORM HUNT II DECAL","True","None"
^DECAL_WORM_P3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_WORM_P3.DECAL_WORM_P3'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_WORM_P3.DECAL_WORM_P3'","Decals","","","WORM HUNT III DECAL","True","None"
^DECAL_WORM_P4,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_WORM_P4.DECAL_WORM_P4'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_WORM_P4.DECAL_WORM_P4'","Decals","","","WORM HUNT IV DECAL","True","None"
^DECAL_WORM_P5,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DECAL_WORM_P5.DECAL_WORM_P5'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DECAL_WORM_P5.DECAL_WORM_P5'","Decals","","","WORM HUNT V DECAL","True","None"
^DOOR2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DOOR2.DOOR2'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DOOR2.DOOR2'","Doors and Ladders","(""CORRIDOR_DOOR"")","(""CORRIDOR_DOOR"")","HOLO-DOOR","True","None"
^DRAWS,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DRAWS.DRAWS'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DRAWS.DRAWS'","Interior Decoration","","(""PROP"")","DRAWERS","True","None"
^DRESSING_TABLE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/DRESSING_TABLE.DRESSING_TABLE'","Advanced Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/DRESSING_TABLE.DRESSING_TABLE'","General Utility","","(""PROP"")","APPEARANCE MODIFIER","True","None"
^EXPD_CUBE_06,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_CUBE_06.EXPD_CUBE_06'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_CUBE_06.EXPD_CUBE_06'","Decals","","","WAYWARD CUBE","True","None"
^EXPD_DECAL01,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_DECAL01.EXPD_DECAL01'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_DECAL01.EXPD_DECAL01'","Decals","","","PIONEERS EXPEDITION DECAL","True","None"
^EXPD_DECAL02,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_DECAL02.EXPD_DECAL02'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_DECAL02.EXPD_DECAL02'","Decals","","","BEACHHEAD EXPEDITION DECAL","True","None"
^EXPD_DECAL03,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_DECAL03.EXPD_DECAL03'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_DECAL03.EXPD_DECAL03'","Decals","","","CARTOGRAPHERS EXPEDITION DECAL","True","None"
^EXPD_DECAL04,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_DECAL04.EXPD_DECAL04'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_DECAL04.EXPD_DECAL04'","Decals","","","EMERGENCE EXPEDITION DECAL","True","None"
^EXPD_DECAL05,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_DECAL05.EXPD_DECAL05'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_DECAL05.EXPD_DECAL05'","Decals","","","EXOBIOLOGY EXPEDITION DECAL","True","None"
^EXPD_DECAL06,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_DECAL06.EXPD_DECAL06'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_DECAL06.EXPD_DECAL06'","Decals","","","BLIGHTED EXPEDITION DECAL","True","None"
^EXPD_DECAL07,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_DECAL07.EXPD_DECAL07'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_DECAL07.EXPD_DECAL07'","Decals","","","LEVIATHAN EXPEDITION DECAL","True","None"
^EXPD_DECAL08,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_DECAL08.EXPD_DECAL08'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_DECAL08.EXPD_DECAL08'","Decals","","","POLESTAR EXPEDITION DECAL","True","None"
^EXPD_FIREWORK01,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_FIREWORK01.EXPD_FIREWORK01'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_FIREWORK01.EXPD_FIREWORK01'","Fireworks","","","BLUE-RED ATLAS FIREWORK","True","None"
^EXPD_FIREWORK02,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_FIREWORK02.EXPD_FIREWORK02'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_FIREWORK02.EXPD_FIREWORK02'","Fireworks","","","GOLD-BLUE ATLAS FIREWORK","True","None"
^EXPD_FIREWORK03,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_FIREWORK03.EXPD_FIREWORK03'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_FIREWORK03.EXPD_FIREWORK03'","Fireworks","","","RED-GOLD ATLAS FIREWORK","True","None"
^EXPD_FIREWORK04,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_FIREWORK04.EXPD_FIREWORK04'","Deployable Technology","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_FIREWORK04.EXPD_FIREWORK04'","Fireworks","","","FLESH LAUNCHER","True","None"
^EXPD_FLAG_06A,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_FLAG_06A.EXPD_FLAG_06A'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_FLAG_06A.EXPD_FLAG_06A'","Structural Adornments","","","PIRACY FLAG","True","None"
^EXPD_FLAG_06B,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_FLAG_06B.EXPD_FLAG_06B'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_FLAG_06B.EXPD_FLAG_06B'","Structural Adornments","","","UNITY FLAG","True","None"
^EXPD_FLAG_06C,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_FLAG_06C.EXPD_FLAG_06C'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_FLAG_06C.EXPD_FLAG_06C'","Structural Adornments","","","HERALDRY FLAG","True","None"
^EXPD_FLAG_06D,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_FLAG_06D.EXPD_FLAG_06D'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_FLAG_06D.EXPD_FLAG_06D'","Structural Adornments","","","ORBITAL FLAG","True","None"
^EXPD_FLAG_06E,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_FLAG_06E.EXPD_FLAG_06E'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_FLAG_06E.EXPD_FLAG_06E'","Structural Adornments","","","VIRIDIAN FLAG","True","None"
^EXPD_POSTER05A,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_POSTER05A.EXPD_POSTER05A'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_POSTER05A.EXPD_POSTER05A'","Posters","","","SOLSTICE POSTER","True","None"
^EXPD_POSTER05B,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_POSTER05B.EXPD_POSTER05B'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_POSTER05B.EXPD_POSTER05B'","Posters","","","ABYSSAL POSTER","True","None"
^EXPD_POSTER05C,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_POSTER05C.EXPD_POSTER05C'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_POSTER05C.EXPD_POSTER05C'","Posters","","","TERRITORIES POSTER","True","None"
^EXPD_POSTER06A,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_POSTER06A.EXPD_POSTER06A'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_POSTER06A.EXPD_POSTER06A'","Posters","","","DREAD CAPTAIN FAHNG POSTER","True","None"
^EXPD_POSTER06B,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_POSTER06B.EXPD_POSTER06B'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_POSTER06B.EXPD_POSTER06B'","Posters","","","OUTLAW POSTER","True","None"
^EXPD_POSTER06C,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_POSTER06C.EXPD_POSTER06C'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_POSTER06C.EXPD_POSTER06C'","Posters","","","RESBUR XIII POSTER","True","None"
^EXPD_POSTER07A,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_POSTER07A.EXPD_POSTER07A'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_POSTER07A.EXPD_POSTER07A'","Posters","","","LEVIATHAN POSTER","True","None"
^EXPD_POSTER07B,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_POSTER07B.EXPD_POSTER07B'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_POSTER07B.EXPD_POSTER07B'","Posters","","","THE LOOP POSTER","True","None"
^EXPD_POSTER07C,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_POSTER07C.EXPD_POSTER07C'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_POSTER07C.EXPD_POSTER07C'","Posters","","","TIMESPLICE POSTER","True","None"
^EXPD_POSTER08A,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_POSTER08A.EXPD_POSTER08A'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_POSTER08A.EXPD_POSTER08A'","Posters","","","PILGRIM POSTER","True","None"
^EXPD_POSTER08B,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_POSTER08B.EXPD_POSTER08B'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_POSTER08B.EXPD_POSTER08B'","Posters","","","POLESTAR POSTER","True","None"
^EXPD_POSTER08C,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/EXPD_POSTER08C.EXPD_POSTER08C'","Wall Art","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/EXPD_POSTER08C.EXPD_POSTER08C'","Posters","","","HEAVY SHIPPING POSTER","True","None"
^FLAG1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FLAG1.FLAG1'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FLAG1.FLAG1'","Structural Adornments","","(""PROP"")","FLAG 1","True","None"
^FLAG2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FLAG2.FLAG2'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FLAG2.FLAG2'","Structural Adornments","","(""PROP"")","FLAG 2","True","None"
^FLAG3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FLAG3.FLAG3'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FLAG3.FLAG3'","Structural Adornments","","(""PROP"")","FLAG 3","True","None"
^FLAG4,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FLAG4.FLAG4'","Decoration","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FLAG4.FLAG4'","Structural Adornments","","(""PROP"")","FLAG 4","True","None"
^FLOORMAT1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FLOORMAT1.FLOORMAT1'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FLOORMAT1.FLOORMAT1'","Interior Decoration","","(""PROP"")","FLOOR MAT","True","None"
^FOORLIGHT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FOORLIGHT.FOORLIGHT'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FOORLIGHT.FOORLIGHT'","Derelict Freighter Salvage","","(""PROP"")","EMERGENCY LIGHT","True","None"
^FOOTLOCKER,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FOOTLOCKER.FOOTLOCKER'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FOOTLOCKER.FOOTLOCKER'","Derelict Freighter Salvage","","(""PROP"")","CREW FOOTLOCKER","True","None"
^FOUNDATION,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FOUNDATION.FOUNDATION'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FOUNDATION.FOUNDATION'","Rooms and Foundations","","(""PROP"")","FOUNDATION","True","None"
^FREIGHTER_CORE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FREIGHTER_CORE.FREIGHTER_CORE'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FREIGHTER_CORE.FREIGHTER_CORE'","Freighter","","","","True","None"
^FRE_CORR_A,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_CORR_A.FRE_CORR_A'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_CORR_A.FRE_CORR_A'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","FREIGHTER CORRIDOR","True","None"
^FRE_CORR_A_GLAS,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_CORR_A_GLAS.FRE_CORR_A_GLAS'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_CORR_A_GLAS.FRE_CORR_A_GLAS'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","FREIGHTER GLASS CORRIDOR","True","None"
^FRE_CORR_G_STA,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_CORR_G_STA.FRE_CORR_G_STA'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_CORR_G_STA.FRE_CORR_G_STA'","Freighter","(""STAIRS_FRE_NEW"")","(""STAIRS_FRE_NEW"")","FREIGHTER GLASS STAIRS","True","None"
^FRE_CORR_STA,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_CORR_STA.FRE_CORR_STA'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_CORR_STA.FRE_CORR_STA'","Freighter","(""STAIRS_FRE_NEW"")","(""STAIRS_FRE_NEW"")","FREIGHTER STAIRS","True","None"
^FRE_EXT_WALKWAY,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_EXT_WALKWAY.FRE_EXT_WALKWAY'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_EXT_WALKWAY.FRE_EXT_WALKWAY'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","EXTERIOR CATWALK","True","None"
^FRE_EXT_W_STA,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_EXT_W_STA.FRE_EXT_W_STA'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_EXT_W_STA.FRE_EXT_W_STA'","Freighter","(""STAIRS_FRE_NEW"")","(""STAIRS_FRE_NEW"")","FREIGHTER EXTERIOR STAIRS","True","None"
^FRE_FACE_DOOR_A,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_FACE_DOOR_A.FRE_FACE_DOOR_A'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_FACE_DOOR_A.FRE_FACE_DOOR_A'","Freighter","","(""DOOR_FRE_NEW"")","BULKHEAD DOOR","True","None"
^FRE_ROOM_BIO,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_BIO.FRE_ROOM_BIO'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_BIO.FRE_ROOM_BIO'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","BIOLOGICAL ROOM (EXPANSION)","True","None"
^FRE_ROOM_COOK,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_COOK.FRE_ROOM_COOK'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_COOK.FRE_ROOM_COOK'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","NUTRITION ROOM","True","None"
^FRE_ROOM_DRESS,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_DRESS.FRE_ROOM_DRESS'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_DRESS.FRE_ROOM_DRESS'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","APPEARANCE MODIFIER ROOM","True","None"
^FRE_ROOM_EXTR,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_EXTR.FRE_ROOM_EXTR'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_EXTR.FRE_ROOM_EXTR'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","STELLAR EXTRACTOR ROOM","True","None"
^FRE_ROOM_FLEET,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_FLEET.FRE_ROOM_FLEET'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_FLEET.FRE_ROOM_FLEET'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","FLEET COMMAND ROOM","True","None"
^FRE_ROOM_IND,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_IND.FRE_ROOM_IND'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_IND.FRE_ROOM_IND'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","INDUSTRIAL ROOM (EXPANSION)","True","None"
^FRE_ROOM_LADDER,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_LADDER.FRE_ROOM_LADDER'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_LADDER.FRE_ROOM_LADDER'","Freighter","","","LADDER MODULE","True","None"
^FRE_ROOM_NPCBUI,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_NPCBUI.FRE_ROOM_NPCBUI'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_NPCBUI.FRE_ROOM_NPCBUI'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","CONSTRUCTION SPECIALIST'S ROOM","True","None"
^FRE_ROOM_NPCFAR,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_NPCFAR.FRE_ROOM_NPCFAR'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_NPCFAR.FRE_ROOM_NPCFAR'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","AGRICULTURAL SPECIALIST'S ROOM","True","None"
^FRE_ROOM_NPCSCI,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_NPCSCI.FRE_ROOM_NPCSCI'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_NPCSCI.FRE_ROOM_NPCSCI'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","SCIENCE SPECIALIST'S ROOM","True","None"
^FRE_ROOM_NPCVEH,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_NPCVEH.FRE_ROOM_NPCVEH'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_NPCVEH.FRE_ROOM_NPCVEH'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","EXOCRAFT SPECIALIST'S ROOM","True","None"
^FRE_ROOM_NPCWEA,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_NPCWEA.FRE_ROOM_NPCWEA'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_NPCWEA.FRE_ROOM_NPCWEA'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","WEAPONS SPECIALIST ROOM","True","None"
^FRE_ROOM_PLANT0,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_PLANT0.FRE_ROOM_PLANT0'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_PLANT0.FRE_ROOM_PLANT0'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","DOUBLE CULTIVATION CHAMBER","True","None"
^FRE_ROOM_PLANT1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_PLANT1.FRE_ROOM_PLANT1'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_PLANT1.FRE_ROOM_PLANT1'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","CULTIVATION CHAMBER","True","None"
^FRE_ROOM_REFINE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_REFINE.FRE_ROOM_REFINE'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_REFINE.FRE_ROOM_REFINE'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","REFINER ROOM","True","None"
^FRE_ROOM_ROCLOC,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_ROCLOC.FRE_ROOM_ROCLOC'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_ROCLOC.FRE_ROOM_ROCLOC'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","STORAGE SHUTTLE ROOM","True","None"
^FRE_ROOM_SCAN,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_SCAN.FRE_ROOM_SCAN'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_SCAN.FRE_ROOM_SCAN'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","SCANNER ROOM","True","None"
^FRE_ROOM_SHOP,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_SHOP.FRE_ROOM_SHOP'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_SHOP.FRE_ROOM_SHOP'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","GALACTIC TRADE ROOM","True","None"
^FRE_ROOM_STORE0,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/FRE_ROOM_STORE0.FRE_ROOM_STORE0'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/FRE_ROOM_STORE0.FRE_ROOM_STORE0'","Freighter","(""CORRIDOR_FRE_NEW"")","(""CORRIDOR_FRE_NEW"")","STORAGE ROOM","True","None"
